ENCFF613JPH, Esophagus_Mucosa, peaks, released, 
ENCFF362GSY, Esophagus_Mucosa, replicated peaks, released, 
ENCFF605CYH, Esophagus_Mucosa, peaks, released, 
ENCFF419MVO, Esophagus_Mucosa, peaks, released, 
ENCFF534AZK, Esophagus_Mucosa, peaks, released, 
ENCFF633FHV, Esophagus_Mucosa, peaks, released, 
ENCFF355IZE, Esophagus_Mucosa, replicated peaks, released, 
ENCFF125JHW, Liver, peaks, released, 
ENCFF829QNV, Liver, peaks, released, 
ENCFF228VKE, Liver, peaks, released, 
ENCFF636VXP, Liver, replicated peaks, released, 
ENCFF321YIO, Liver, peaks, released, 
ENCFF431YIS, Liver, peaks, released, 
ENCFF897HZY, Liver, peaks, released, 
ENCFF250OOO, Liver, replicated peaks, released, 
ENCFF914DAA, Artery_Tibial, peaks, released, 
ENCFF087WUA, Artery_Tibial, peaks, released, 
ENCFF545NOO, Lung, peaks, released, 
ENCFF454ZKD, Lung, peaks, released, 
ENCFF737DUO, Stomach, peaks, released, 
ENCFF786FSP, Stomach, peaks, released, 
ENCFF013DSE, Thyroid, peaks, released, 
ENCFF665AIC, Thyroid, peaks, released, 
ENCFF018QMN, Thyroid, peaks, released, 
ENCFF071MGJ, Thyroid, replicated peaks, released, 
ENCFF932YGS, Thyroid, peaks, released, 
ENCFF570OTU, Thyroid, peaks, released, 
ENCFF918WMF, Thyroid, peaks, released, 
ENCFF433ZJT, Thyroid, replicated peaks, released, 
ENCFF805EDY, Kidney_Cortex, peaks, released, 
ENCFF901CEY, Kidney_Cortex, peaks, released, 
ENCFF721GVA, Vagina, peaks, released, 
ENCFF919AAI, Vagina, peaks, released, 
ENCFF971RDM, Vagina, peaks, released, 
ENCFF993QQW, Vagina, replicated peaks, released, 
ENCFF467RPZ, Vagina, peaks, released, 
ENCFF009GZV, Vagina, peaks, released, 
ENCFF829ZKD, Vagina, replicated peaks, released, 
ENCFF626AMC, Vagina, peaks, released, 
ENCFF752BLO, Esophagus_Mucosa, peaks, released, 
ENCFF263CCG, Esophagus_Mucosa, peaks, released, 
ENCFF237RCB, Adrenal_Gland, peaks, released, 
ENCFF882CKC, Adrenal_Gland, peaks, released, 
ENCFF042VWM, Lung, peaks, released, 
ENCFF296GFU, Lung, peaks, released, 
ENCFF964LMJ, Heart_Atrial_Appendage, peaks, archived, 
ENCFF676IQT, Heart_Atrial_Appendage, peaks, released, 
ENCFF099AOD, Heart_Atrial_Appendage, peaks, released, 
ENCFF564KKQ, Muscle_Skeletal, peaks, released, 
ENCFF678ZMD, Muscle_Skeletal, peaks, released, 
ENCFF580IEV, Pancreas, peaks, released, 
ENCFF781ZDN, Pancreas, peaks, released, 
ENCFF023XNX, Pancreas, peaks, released, 
ENCFF063WOS, Pancreas, peaks, released, 
ENCFF008WDW, Pancreas, peaks, released, 
ENCFF767NIK, Pancreas, replicated peaks, released, 
ENCFF129IHA, Pancreas, peaks, released, 
ENCFF192JEC, Pancreas, peaks, released, 
ENCFF714QVX, Pancreas, peaks, released, 
ENCFF616LQX, Pancreas, replicated peaks, released, 
ENCFF152SEG, Stomach, peaks, archived, 
ENCFF019RYW, Stomach, peaks, released, 
ENCFF332WZD, Stomach, peaks, released, 
ENCFF285TUM, Adrenal_Gland, peaks, archived, 
ENCFF147TZN, Adrenal_Gland, peaks, released, 
ENCFF033BYD, Adrenal_Gland, peaks, released, 
ENCFF701MSZ, Heart_Left_Ventricle, peaks, released, 
ENCFF617BNF, Heart_Left_Ventricle, peaks, released, 
ENCFF627NAG, Liver, peaks, released, 
ENCFF369OLF, Liver, peaks, released, 
ENCFF134JJJ, Liver, peaks, released, 
ENCFF661MXY, Liver, peaks, released, 
ENCFF847HXL, Muscle_Skeletal, peaks, archived, 
ENCFF504XQN, Muscle_Skeletal, peaks, released, 
ENCFF516GDU, Muscle_Skeletal, peaks, released, 
ENCFF308LLI, Lung, peaks, archived, 
ENCFF653NIH, Lung, peaks, released, 
ENCFF271SCL, Lung, peaks, released, 
ENCFF622EDV, Stomach, peaks, released, 
ENCFF402PZD, Stomach, peaks, released, 
ENCFF720TAD, Nerve_Tibial, peaks, released, 
ENCFF482ANJ, Nerve_Tibial, peaks, released, 
ENCFF422HJW, Brain, peaks, released, 
ENCFF582ZTI, Brain, peaks, released, 
ENCFF396HYW, Lung, peaks, released, 
ENCFF765NDK, Lung, peaks, released, 
ENCFF526XRY, Heart_Atrial_Appendage, peaks, archived, 
ENCFF144FOO, Heart_Atrial_Appendage, peaks, released, 
ENCFF897OWF, Heart_Atrial_Appendage, peaks, released, 
ENCFF781ESZ, Adrenal_Gland, peaks, released, 
ENCFF379FNG, Adrenal_Gland, peaks, released, 
ENCFF408LCT, Brain_Anterior_cingulate_cortex_BA24, peaks, released, 
ENCFF378CBE, Brain_Anterior_cingulate_cortex_BA24, peaks, released, 
ENCFF211WDR, Thyroid, peaks, released, 
ENCFF361ZQK, Thyroid, peaks, released, 
ENCFF516QOK, Artery_Aorta, peaks, released, 
ENCFF622LDN, Artery_Aorta, peaks, released, 
