K	alpha1	lambda1	coph	correlation	nfactor	optimal_run	optimal_obj
10	80	60	0.893369084541005	3.22410616839647	8.5	1	47730.3686437937
20	60	100	0.893419330929816	3.29229610700232	8.7	14	50345.9662972549
20	80	100	0.893490775328727	3.0646530936544	7.43333333333333	22	54785.8653022169
15	80	60	0.893715774106613	3.26445393023948	8.8	14	47073.9939869566
15	70	70	0.893790144016389	3.32060377609385	9	3	47384.6519980539
11	90	70	0.89381505063029	3.12182628491968	7.8	4	51470.3581047121
16	60	100	0.89383291745148	3.29492440732293	8.63333333333333	21	50295.8324105206
11	70	100	0.894208335019959	3.1010913944716	7.66666666666667	27	53161.1824158004
11	90	80	0.894475195003654	3.06609042986261	7.5	6	53552.9267582453
13	80	70	0.894582149385071	3.2098815609814	8.36666666666667	24	49932.5019593872
20	100	100	0.894752210310322	2.95407121611634	6.83333333333333	23	58347.6731621595
13	80	50	0.894753716294445	3.42124938568078	9.76666666666667	21	44655.2671802778
13	100	80	0.894811803111958	3.00090872439124	7.16666666666667	1	54870.1765824782
17	70	60	0.894840094345074	3.46997204908092	9.86666666666667	8	45019.524381238
16	70	100	0.894859826016621	3.19343725208336	8.16666666666667	23	52888.0974402175
12	60	80	0.895093028049932	3.33266866933851	9.06666666666667	21	47077.4733858061
11	90	50	0.895535424934476	3.23820469579553	8.6	14	47109.7945857401
10	30	100	0.895583300146192	3.44911161684773	9.76666666666667	5	41440.9984156181
12	80	60	0.895722036530765	3.26901527189898	8.73333333333333	19	47609.9793766993
18	70	100	0.896670083934261	3.21972966493524	8.26666666666667	20	52538.9409597786
11	90	60	0.896690409349966	3.18502960403181	8.3	18	49300.9689237095
10	80	40	0.896891283874675	3.35437837988356	9.36666666666667	1	42608.7631464536
12	80	80	0.897459537212771	3.10010870093315	7.6	23	51745.6191130743
10	60	70	0.897692483053065	3.2760391458632	8.76666666666667	22	45799.699362785
19	90	100	0.897708795718953	3.03247365230607	7.3	2	56871.9252801771
18	60	100	0.898231520110588	3.31947487491718	8.83333333333333	22	50364.2701639972
16	80	70	0.898344476695856	3.29303580216001	8.83333333333333	6	49144.5611488115
19	80	70	0.898383189361814	3.2561810483868	8.63333333333333	9	49365.5080180089
11	50	100	0.898889895831975	3.3570689186785	9.03333333333333	17	47679.4318298126
12	90	60	0.899397302155755	3.24098978869744	8.56666666666667	15	48865.2517537793
13	100	100	0.899499208723132	2.89385178970274	6.53333333333333	20	58460.9452781063
15	90	70	0.899584656134661	3.17921629484953	8.23333333333333	5	51403.3353853937
15	90	50	0.89966514729021	3.35173608016881	9.33333333333333	25	45997.5570641138
11	60	80	0.899711184083358	3.30828272204083	8.93333333333333	19	47223.7606401069
16	90	60	0.900033616259413	3.28567749144827	8.83333333333333	25	48873.8902466019
17	90	100	0.9001477771201	2.97040422352074	6.9	8	56912.1214754066
16	80	80	0.90040808782296	3.15811643464386	8	22	51768.9204645279
14	70	80	0.900639207849503	3.26831727858837	8.63333333333333	28	49513.234590439
20	100	60	0.90072816011383	3.22562932580004	8.5	8	50904.8437111508
18	90	70	0.900772205435581	3.21233713464468	8.33333333333333	17	50951.5147603936
12	50	90	0.900884722406529	3.42079550930476	9.56666666666667	27	46116.2102008314
11	100	50	0.900932825965231	3.19704926676597	8.4	15	47988.0335494403
12	90	80	0.901369991701461	3.02791190681574	7.3	12	53699.7045834104
18	90	60	0.901709878618949	3.3336967705405	9.13333333333333	5	48896.5188163063
17	60	80	0.901712907473874	3.41797625909583	9.5	29	47098.7191293662
11	100	60	0.901847807404357	3.07648148079162	7.73333333333333	14	50789.9504949163
10	90	60	0.901905431581974	3.10677400999702	7.8	22	49590.4491343436
11	100	80	0.90197458121842	2.98524638932419	6.9	22	55480.1957713789
20	80	80	0.902027729486647	3.14247246617383	7.96666666666667	17	51638.3919437201
10	100	70	0.902118582787478	3.05186643637795	7.46666666666667	4	52874.7391080705
15	80	80	0.902744544991228	3.16101138402882	8.03333333333333	27	51696.7728660557
11	50	90	0.902765354782861	3.31922130625576	9.03333333333333	13	46386.6821934539
20	60	90	0.902996932936191	3.36426167729185	9.13333333333333	20	48768.910525112
17	70	90	0.903070958086324	3.23857693820808	8.53333333333333	12	50985.8661787291
10	80	50	0.903084000688657	3.26377399819968	8.8	9	45363.7305088653
12	60	100	0.903114824256443	3.23455796957072	8.4	4	50294.043795438
14	70	60	0.903232696954718	3.4025945560247	9.56666666666667	18	45022.1987051254
12	100	50	0.90332198252653	3.18267741350493	8.2	5	47451.6010295255
15	100	70	0.903881077522259	3.13917641722112	7.9	20	52959.9498104929
10	90	100	0.904476383347962	2.93030543629745	6.6	29	56690.4094736227
13	100	60	0.90456840653805	3.14253066354811	8.06666666666667	23	50761.9376334464
10	90	70	0.904581427796706	3.09964141060418	7.73333333333333	1	51668.5754269665
12	100	10	0.905065701475417	3.58372130562319	11.3666666666667	10	28928.1430207919
15	90	90	0.90506832768994	3.02132360955562	7.2	9	55158.9116863451
12	50	80	0.905087500623141	3.45240294456567	9.63333333333333	3	44904.6189576278
18	80	80	0.905305985760681	3.17174512832883	8.1	30	51223.1429672986
20	90	90	0.905446333816803	3.09472161715192	7.66666666666667	13	55009.4190229962
16	70	90	0.905734158511469	3.22703424418374	8.36666666666667	16	51266.9462853765
15	80	70	0.905921152563942	3.2666966880795	8.66666666666667	13	49369.9030657938
11	80	90	0.906168823192913	3.08448925143254	7.63333333333333	24	53354.726903607
17	70	70	0.906335923616146	3.3525667710889	9.2	16	47150.8639677145
13	50	100	0.906675412450676	3.39509456880978	9.3	2	47771.4650452253
17	100	70	0.906678085786904	3.08158325394453	7.66666666666667	5	52871.5455233643
10	100	90	0.906761576100815	2.89164381252759	6.43333333333333	19	57217.8920179948
12	60	90	0.906802391265436	3.2724398936072	8.63333333333333	17	49192.6277510417
17	100	50	0.906878454126502	3.21789583361403	8.53333333333333	25	47552.6813094733
17	60	100	0.906884109873348	3.2537049368678	8.5	15	50539.3921705021
20	90	50	0.906933969356996	3.38812391343689	9.4	6	45722.7956073472
19	60	90	0.907092071537574	3.36310014455286	9.16666666666667	25	48715.171265425
15	100	100	0.907117016003145	2.91842871919872	6.73333333333333	15	58283.9255104171
16	70	60	0.907180691867924	3.45622990848045	9.86666666666667	22	45123.3077353657
18	100	60	0.907236139961347	3.13124466951524	7.93333333333333	7	50825.9899765799
20	90	80	0.907724978537388	3.04110558967895	7.36666666666667	16	53242.2991604592
17	90	60	0.907853592406057	3.27956326325794	8.63333333333333	21	48985.8556258896
11	100	70	0.908027350161756	3.02485696724108	7.4	7	53233.8140329867
17	80	80	0.908645443857789	3.19423244363659	8.3	9	51287.6869239911
20	80	90	0.908812458485488	3.15564065408022	8	15	53364.0943671335
20	80	50	0.909040688402261	3.47336595743518	9.93333333333333	8	44322.1875559968
